Land;Stadt;Kategorie;Merkmal;Jahr ;Ankuenfte Sommerhalbjahr;Uebernachtungen Sommerhalbjahr
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;1988;190509;411306
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;1989;195617;420357
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;1990;202376;422564
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;1991;212899;435871
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;1992;195217;412199
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;1993;186028;396208
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;1994;191200;415618
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;1995;198963;428654
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;1996;196157;413265
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;1997;207760;394381
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;1998;211055;400419
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;1999;208408;391321
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;2000;219539;413956
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;2001;225226;423199
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;2002;222766;418587
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;2003;226591;431109
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;2004;213866;424026
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;2005;235328;457744
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;2006;243204;476113
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;2007;252785;480216
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;2008;255474;497475
Land;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;2009;252449;487878
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;2010;272288;521914
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;2011;296344;563960
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;2012;304074;581157
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;2013;307270;608551
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;2014;328786;652875
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;2015;339538;674980
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;2016;353102;668141
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;2017;289839;574058
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;2018;234519;480515
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;2019;254717;515806
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;2020;139850;361735
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;2021;173927;470356
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;2022;272177;570854
de-sh;Kiel;kultur_freizeit_sport_tourismus;Hotelgaeste;2023;323928;664284
