Land;Stadt;Kategorie;Jahr;Foerderschulabschluss;Hauptschulabschluss;Realschulabschluss;Fachhochschulreife;allgemeine Hochschulreife
de-sh;Kiel;bildung_wissenschaft;1989;72;698;766;78;904
de-sh;Kiel;bildung_wissenschaft;1990;57;676;702;62;890
de-sh;Kiel;bildung_wissenschaft;1991;65;620;609;54;783
de-sh;Kiel;bildung_wissenschaft;1992;68;652;572;38;697
de-sh;Kiel;bildung_wissenschaft;1993;81;707;633;43;726
de-sh;Kiel;bildung_wissenschaft;1994;59;692;584;40;635
de-sh;Kiel;bildung_wissenschaft;1995;98;729;577;47;705
de-sh;Kiel;bildung_wissenschaft;1996;94;758;557;56;686
de-sh;Kiel;bildung_wissenschaft;1997;83;699;565;55;700
de-sh;Kiel;bildung_wissenschaft;1998;82;677;621;42;648
de-sh;Kiel;bildung_wissenschaft;1999;44;601;600;47;638
de-sh;Kiel;bildung_wissenschaft;2000;79;625;604;54;689
de-sh;Kiel;bildung_wissenschaft;2001;62;629;583;41;718
de-sh;Kiel;bildung_wissenschaft;2002;91;629;550;50;694
de-sh;Kiel;bildung_wissenschaft;2003;94;631;618;29;646
de-sh;Kiel;bildung_wissenschaft;2004;118;576;630;40;671
de-sh;Kiel;bildung_wissenschaft;2005;95;597;586;26;691
de-sh;Kiel;bildung_wissenschaft;2006;154;721;657;25;734
de-sh;Kiel;bildung_wissenschaft;2007;155;633;655;20;766
de-sh;Kiel;bildung_wissenschaft;2008;116;589;598;44;731
de-sh;Kiel;bildung_wissenschaft;2009;127;616;843;33;888
de-sh;Kiel;bildung_wissenschaft;2010;118;604;633;39;989
de-sh;Kiel;bildung_wissenschaft;2011;102;460;647;48;819
de-sh;Kiel;bildung_wissenschaft;2012;76;465;557;55;826
de-sh;Kiel;bildung_wissenschaft;2013;94;351;502;47;845
de-sh;Kiel;bildung_wissenschaft;2014;95;379;579;69;895
de-sh;Kiel;bildung_wissenschaft;2015;92;316;545;84;882
de-sh;Kiel;bildung_wissenschaft;2016;86;336;558;76;1468
de-sh;Kiel;bildung_wissenschaft;2017;78;319;520;75;917
de-sh;Kiel;bildung_wissenschaft;2018;106;344;469;81;922
de-sh;Kiel;bildung_wissenschaft;2019;91;334;517;78;858
de-sh;Kiel;bildung_wissenschaft;2020;102;335;449;49;789
de-sh;Kiel;bildung_wissenschaft;2021;90;300;474;85;912
de-sh;Kiel;bildung_wissenschaft;2022;106;329;497;79;915
de-sh;Kiel;bildung_wissenschaft;2023;112;277;431;72;835
