Land;Stadt;Kategorie;Merkmal;Jahr;Wohnungen gesamt;Wohngebaeude;Nichtwohnbauten
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;1988;420;268;49
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;1989;577;266;51
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;1990;750;235;38
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;1991;886;197;50
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;1992;1056;243;47
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;1993;954;251;32
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;1994;1090;233;34
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;1995;1326;288;41
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;1996;849;170;29
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;1997;1505;236;37
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;1998;851;165;45
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;1999;550;192;28
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;2000;299;168;26
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;2001;322;249;25
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;2002;300;218;16
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;2003;316;209;23
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;2004;318;197;13
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;2005;297;227;27
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;2006;358;237;28
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;2007;319;200;23
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;2008;256;142;22
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;2009;335;234;18
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;2010;283;171;19
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;2011;328;162;30
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;2012;361;154;23
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;2013;411;147;29
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;2014;616;185;23
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;2015;449;267;19
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;2016;850;139;41
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;2017;678;89;35
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;2018;846;61;33
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;2019;752;68;33
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;2020;1517;107;32
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;2021;797;96;25
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;2022;537;73;25
de-sh;Kiel;infrastruktur_bauen_wohnen;Baugenehmigungen;2023;491;57;19
