Land;Stadt;Kategorie;Merkmal;Jahr;Anzahl der Linien ;Fahrzeugbestand;Gefahrene Wagen - Km;Fahrgaeste
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;1988;27;199;9952654;42793260
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;1989;32;199;9851415;43626534
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;1990;34;203;9774931;45263313
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;1991;35;211;9683543;45418960
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;1992;35;214;9513108;42701921
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;1993;30;197;9226844;44235477
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;1994;30;195;8930307;43088931
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;1995;27;181;8816435;42767976
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;1996;28;173;8996088;42596866
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;1997;28;169;8904688;42409875
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;1998;27;158;10207537;38428518
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;1999;32;157;11484989;38780203
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;2000;35;157;9372611;35373384
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;2001;32;150;9229236;35997846
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;2002;33;150;9029869;34104613
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;2003;31;150;8899519;33362742
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;2004;32;150;8946526;33322639
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;2005;34;148;8963906;32923122
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;2006;34;148;8976854;32882518
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;2007;33;144;9093149;32900000
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;2008;33;143;9222524;26812400
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;2009;32;138;9274757;28378100
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;2010;35;140;9403387;30143700
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;2011;36;146;9483037;31976000
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;2012;36;155;9563456;31953800
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;2013;36;150;9553038;32944500
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;2014;36;159;9522911;32154700
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;2015;36;159;9526515;32584600
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;2016;36;168;9602664;33293300
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;2017;36;174;9806341;33176900
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;2018;37;181;10191927,04;32827400
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;2019;37;185;10488563;33713000
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;2020;38;202;10219657;17579400
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;2021;38;214;11686024;19201400
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;2022;33;218;11626826;29021707
de-sh;Kiel;transport_verkehr;Landverkehr der KVG;2023;33;219;11127199;30356563
